author,location,content,properties
"{""properties"":{""friends"":150,""verified"":false,""status_count"":583}}","{""longitude"":-1.4496120000000003,""country"":""GB"",""latitude"":53.38322877572023}","{""body"":""To everyone tryin to snapchat me fuck off I'm ugly""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1321,""verified"":false,""status_count"":86271}}","{""longitude"":-4.200440999999999,""country"":""GB"",""latitude"":57.786631183916356}","{""body"":""@cammiescott have you ever been to Scotland? You should give Nessie a wee visit! (I live near her) #askcamscott""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1952,""verified"":false,""status_count"":11785}}","{""longitude"":-0.07060350000000003,""country"":""GB"",""latitude"":51.46469310439313}","{""body"":""#LoveIsland #zaraholland 😭😭😭😭 https://t.co/LUpQvshkm3""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":629,""verified"":false,""status_count"":22813}}","{""longitude"":-0.17311500000000005,""country"":""GB"",""latitude"":51.5248433429905}","{""body"":""😴""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":509,""verified"":false,""status_count"":8740}}","{""longitude"":-2.6693795,""country"":""GB"",""latitude"":53.46992093633473}","{""body"":""@sickkening Yep you're also that xx""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":98,""verified"":false,""status_count"":5631}}","{""longitude"":-3.827665,""country"":""GB"",""latitude"":51.663017826717834}","{""body"":""@ItsMqtt_ Try to get tickets @Jorduunn ^^ 😃😃""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":194,""verified"":false,""status_count"":2598}}","{""longitude"":0.026298999999999996,""country"":""GB"",""latitude"":51.394368557245095}","{""body"":""@SoccerSix #SoccerSixNashGrier I'm so anxious  please tell me 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":609,""verified"":false,""status_count"":6067}}","{""longitude"":-2.5933005000000002,""country"":""GB"",""latitude"":53.38263616563445}","{""body"":""Feeling so drained much needed 2days off 😴""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":2378,""verified"":false,""status_count"":24332}}","{""longitude"":-4.2417515,""country"":""GB"",""latitude"":55.85839558130999}","{""body"":""How many people relate to Michael in GTA V?""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1720,""verified"":false,""status_count"":12071}}","{""longitude"":-0.5175495000000001,""country"":""GB"",""latitude"":51.8940473990251}","{""body"":""@BryOnTour how did you get banned from Canada!? 😂""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":340,""verified"":false,""status_count"":1093}}","{""longitude"":-2.492508,""country"":""GB"",""latitude"":51.465826602329074}","{""body"":""Saturday people!!! 💯🔥🔥🔥 https://t.co/0T4GluLYlA""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":168,""verified"":false,""status_count"":6278}}","{""longitude"":-1.3964669999999997,""country"":""GB"",""latitude"":50.921354828148374}","{""body"":""@ZacEfron I really want to go to America!!!! It's my dream!!!! (Maybe I could spot you there if I went😉) hehe, I love you, Zac❤️""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1079,""verified"":false,""status_count"":17855}}","{""longitude"":-0.1815875,""country"":""GB"",""latitude"":51.361915086985626}","{""body"":""That England game v Holland has to be the best English performance ever, how didn't we win this tournament #euro96rewind""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":894,""verified"":false,""status_count"":32005}}","{""longitude"":-1.0853244999999998,""country"":""GB"",""latitude"":53.966222428737346}","{""body"":""It's been an exceedingly long day of very mixed emotions. I'm tired and hungry so I've opted for an nice aromatic crispy duck 😜""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":508,""verified"":false,""status_count"":11630}}","{""longitude"":0.4110205,""country"":""GB"",""latitude"":51.619621209036865}","{""body"":""I can't wait to read books all summer long""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":661,""verified"":false,""status_count"":25221}}","{""longitude"":-0.2631405,""country"":""GB"",""latitude"":51.56521809122742}","{""body"":""Yeah defo https://t.co/d2y9dcIXWw""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1111,""verified"":false,""status_count"":9004}}","{""longitude"":-1.7396194999999999,""country"":""GB"",""latitude"":55.13511300814875}","{""body"":""'Fleur-de-Lis'....Watch ya mouth!""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":1417,""verified"":false,""status_count"":9057}}","{""longitude"":-0.09263300000000001,""country"":""GB"",""latitude"":51.35895133231162}","{""body"":""God, retainers are the most painful thing ever🙃""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":451,""verified"":false,""status_count"":582}}","{""longitude"":-3.2030084999999997,""country"":""GB"",""latitude"":55.943259273756}","{""body"":""https://t.co/68ccbzho3T""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":37,""verified"":false,""status_count"":1120}}","{""longitude"":-0.9878955,""country"":""GB"",""latitude"":50.85834181389471}","{""body"":""Drake / Keep the Family Close""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":234,""verified"":false,""status_count"":2545}}","{""longitude"":-2.155945,""country"":""GB"",""latitude"":52.26482402003387}","{""body"":""To top off a shit day I got cramp in my foot getting into bed..... 😲""}","{""sentiment"":1,""platform"":""twitter""}"
